item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status,MV,Year,Month,Customer Since,M-Y,FY,Customer ID
ZlYFf7YglR8omA64NSe9,complete,07/02/2016,PHILIPS_HP8105_29,2340,1,2340,100147956,Groceries,\N,0,cod,07/02/2016,Net,"2,340",2016,7,2016-7,Jul-16,FY17,Oh6WDmdOmZS4aeDVYHcOzmiuBlx2
7QnDO0DqaGzPwZPGWZCQ,complete,07/11/2016,UK_Tea Rusk Sugar Free 220 Gms,95,5,590,100149045,Furniture,\N,217.89,cod,07/11/2016,Net,475,2016,7,2016-7,Jul-16,FY17,Q9RQuokRCmdbKcbOz1SCUFcnolQ2
7QnDO0DqaGzPwZPGWZCQ,complete,7/15/2016,UK_Tea Rusk Sugar Free 220 Gms,95,1,175,100150045,Furniture,34737,0,cod,7/15/2016,Net,95,2016,7,2016-7,Jul-16,FY17,QeYcNFWr6HYo0c9ojwOACAXWMhv1
WJ8B8nqI5ZAoxrbzG5AJ,complete,7/26/2016,ISN's 100% Whey Protein Chocolate,2500,1,2500,100152708,Health & Sports,\N,0,cod,7/26/2016,Net,"2,500",2016,7,2016-7,Jul-16,FY17,ddHmdYpGVFSquw5rpU86w5rdNNn1
ZlYFf7YglR8omA64NSe9,complete,7/26/2016,PHILIPS_HP8105_29,2340,1,3140,100152796,Groceries,\N,0,ublcreditcard,7/26/2016,Net,"2,340",2016,7,2016-7,Jul-16,FY17,g5zvioVELpgiTWtMjmUbIbhgmlm2
WJ8B8nqI5ZAoxrbzG5AJ,complete,7/29/2016,ISN's 100% Whey Protein Chocolate,2500,1,2500,100154329,Health & Sports,\N,0,cod,7/29/2016,Net,"2,500",2016,7,2016-7,Jul-16,FY17,kpIDfqtaANNwsiFzyxZLhNGis762
lzKZk6d2AmB9pQraCnar,complete,8/13/2016,nutrifactor_NF0025,3000,1,3000,100160073,Health & Sports,\N,0,cod,8/13/2016,Net,"3,000",2016,8,2016-8,Aug-16,FY17,l6MVvU8u7iM9nAuEj6XFIJryEGP2
7d1LR9xuRpNqBnAehAAC,complete,8/28/2016,zuni16_312-B,2275,1,2275,100163709,Women's Fashion,C-HDD45229,0,cod,8/28/2016,Net,"2,275",2016,8,2016-7,Aug-16,FY17,QeYcNFWr6HYo0c9ojwOACAXWMhv1
T4uEDgpEB0HhetLCTyII,complete,09/04/2016,cr_MABROOM DATES (375 GM),695,1,2035,100165418,Furniture,\N,0,cod,09/04/2016,Net,695,2016,9,2016-7,Sep-16,FY17,uhN2qKUWMZRgkoUsE3IQ9dVttCh2
WJ8B8nqI5ZAoxrbzG5AJ,complete,09/08/2016,ISN's 100% Whey Protein Chocolate,2500,2,5000,100166539,Health & Sports,\N,0,cod,09/08/2016,Net,"5,000",2016,9,2016-9,Sep-16,FY17,xT3mQEPLq4QHLSgsS1zeSTb4Mjx2
